marker_cell_type,codi_cell_type,n_cells,pct_of_marker_row,pct_of_all_mapped
B_cell,B_cell,2559,67.64,7.78
B_cell,CD4_T,1101,29.1,3.35
B_cell,CD8_T_cytotoxic,106,2.8,0.32
B_cell,Monocyte_CD14,12,0.32,0.04
B_cell,DC,3,0.08,0.01
B_cell,Monocyte_CD16,2,0.05,0.01
CD4_T,CD4_T,14588,99.35,44.34
CD4_T,CD8_T_cytotoxic,89,0.61,0.27
CD4_T,Monocyte_CD14,4,0.03,0.01
CD4_T,B_cell,2,0.01,0.01
CD8_T_cytotoxic,CD8_T_cytotoxic,2767,78.74,8.41
CD8_T_cytotoxic,CD4_T,737,20.97,2.24
CD8_T_cytotoxic,Monocyte_CD14,4,0.11,0.01
CD8_T_cytotoxic,B_cell,3,0.09,0.01
CD8_T_cytotoxic,DC,3,0.09,0.01
DC,CD4_T,384,49.68,1.17
DC,Monocyte_CD14,256,33.12,0.78
DC,B_cell,59,7.63,0.18
DC,CD8_T_cytotoxic,57,7.37,0.17
DC,Monocyte_CD16,14,1.81,0.04
DC,DC,3,0.39,0.01
Monocyte_CD14,CD4_T,1161,55.71,3.53
Monocyte_CD14,Monocyte_CD14,791,37.96,2.4
Monocyte_CD14,CD8_T_cytotoxic,113,5.42,0.34
Monocyte_CD14,B_cell,13,0.62,0.04
Monocyte_CD14,DC,5,0.24,0.02
Monocyte_CD14,Monocyte_CD16,1,0.05,0.0
Monocyte_CD16,CD4_T,1441,60.29,4.38
Monocyte_CD16,Monocyte_CD14,475,19.87,1.44
Monocyte_CD16,CD8_T_cytotoxic,452,18.91,1.37
Monocyte_CD16,B_cell,17,0.71,0.05
Monocyte_CD16,Monocyte_CD16,3,0.13,0.01
Monocyte_CD16,DC,2,0.08,0.01
NK_cell,CD8_T_cytotoxic,2808,70.18,8.53
NK_cell,CD4_T,1179,29.47,3.58
NK_cell,Monocyte_CD14,9,0.22,0.03
NK_cell,B_cell,4,0.1,0.01
NK_cell,DC,1,0.02,0.0
Platelet,CD4_T,1324,79.19,4.02
Platelet,CD8_T_cytotoxic,167,9.99,0.51
Platelet,Monocyte_CD14,137,8.19,0.42
Platelet,Monocyte_CD16,22,1.32,0.07
Platelet,B_cell,19,1.14,0.06
Platelet,DC,3,0.18,0.01
