ref_cell_type,codi_cell_type,n_cells,pct_of_ref_row,pct_of_all_mapped
B_cell,B_cell,2569,98.2,7.81
B_cell,CD4_T,44,1.68,0.13
B_cell,CD8_T_cytotoxic,3,0.11,0.01
CD4_T,CD4_T,11415,99.21,34.7
CD4_T,CD8_T_cytotoxic,70,0.61,0.21
CD4_T,B_cell,17,0.15,0.05
CD4_T,Monocyte_CD14,4,0.03,0.01
CD8_T_cytotoxic,CD4_T,8882,68.11,27.0
CD8_T_cytotoxic,CD8_T_cytotoxic,4151,31.83,12.62
CD8_T_cytotoxic,B_cell,7,0.05,0.02
DC,B_cell,17,58.62,0.05
DC,Monocyte_CD14,5,17.24,0.02
DC,CD4_T,4,13.79,0.01
DC,DC,3,10.34,0.01
Monocyte_CD14,Monocyte_CD14,1554,88.9,4.72
Monocyte_CD14,CD4_T,165,9.44,0.5
Monocyte_CD14,B_cell,12,0.69,0.04
Monocyte_CD14,CD8_T_cytotoxic,7,0.4,0.02
Monocyte_CD14,Monocyte_CD16,7,0.4,0.02
Monocyte_CD14,DC,3,0.17,0.01
NK_cell,CD8_T_cytotoxic,2043,94.58,6.21
NK_cell,CD4_T,117,5.42,0.36
low_confidence,CD4_T,85,34.84,0.26
low_confidence,Monocyte_CD14,61,25.0,0.19
low_confidence,B_cell,37,15.16,0.11
low_confidence,CD8_T_cytotoxic,29,11.89,0.09
low_confidence,Monocyte_CD16,22,9.02,0.07
low_confidence,DC,10,4.1,0.03
other,CD4_T,88,41.51,0.27
other,Monocyte_CD14,64,30.19,0.19
other,CD8_T_cytotoxic,27,12.74,0.08
other,B_cell,16,7.55,0.05
other,Monocyte_CD16,13,6.13,0.04
other,DC,4,1.89,0.01
other_T,CD4_T,1115,82.9,3.39
other_T,CD8_T_cytotoxic,229,17.03,0.7
other_T,B_cell,1,0.07,0.0
