cell_type_ref,B_cell,CD4_T,CD8_T_cytotoxic,DC,Monocyte_CD14,Monocyte_CD16,NK_cell,Platelet,All
B_cell,2536,2,0,53,3,10,3,18,2625
CD4_T,521,8372,134,190,601,796,199,738,11551
CD8_T_cytotoxic,562,5961,2216,128,515,660,2428,623,13093
DC,9,0,5,5,5,6,5,0,35
Monocyte_CD14,13,3,4,261,836,543,4,95,1759
NK_cell,5,0,1050,35,15,107,1138,15,2365
low_confidence,54,4,12,49,23,26,25,57,250
other,27,1,11,54,28,31,15,45,212
other_T,66,402,183,11,70,222,303,93,1350
All,3793,14745,3615,786,2096,2401,4120,1684,33240
