condition,cell_type_marker,antigen_presentation_score
PSNP_40nm,B_cell,1.4513365896498716
PSNP_40nm,CD4_T,0.1825560272064476
PSNP_40nm,CD8_T_cytotoxic,0.25279117669343465
PSNP_40nm,DC,1.6465245735645293
PSNP_40nm,Monocyte_CD14,0.0588541532192773
PSNP_40nm,NK_cell,0.2815926616355193
PSNP_40nm,low_confidence,0.15656355214280052
PSNP_40nm,other,0.4715641028529558
PSNP_40nm,other_T,0.18745176735447674
PSNP_200nm,B_cell,1.617803307110078
PSNP_200nm,CD4_T,0.20743653572070206
PSNP_200nm,CD8_T_cytotoxic,0.2662508081284953
PSNP_200nm,DC,1.7642855027142692
PSNP_200nm,Monocyte_CD14,0.10422154912662882
PSNP_200nm,NK_cell,0.3116389613735133
PSNP_200nm,low_confidence,0.5274510016892721
PSNP_200nm,other,0.4294664279995738
PSNP_200nm,other_T,0.22854574167751937
PSNP_mix_40_200,B_cell,1.5233305815120766
PSNP_mix_40_200,CD4_T,0.12525961663444712
PSNP_mix_40_200,CD8_T_cytotoxic,0.22580607305238462
PSNP_mix_40_200,DC,1.915767577489217
PSNP_mix_40_200,Monocyte_CD14,0.038946973233394425
PSNP_mix_40_200,NK_cell,0.25330195188652765
PSNP_mix_40_200,low_confidence,0.6054280745983124
PSNP_mix_40_200,other,0.2629908300892395
PSNP_mix_40_200,other_T,0.17115533601354668
control,B_cell,1.6713176849571345
control,CD4_T,0.17077716695053494
control,CD8_T_cytotoxic,0.25871273359492986
control,DC,1.683422348839896
control,Monocyte_CD14,0.23866327658662653
control,NK_cell,0.33205579913803157
control,low_confidence,0.4984154995929363
control,other,0.30791746814404763
control,other_T,0.1854590742904823
