gene,scores,logfc,pval,padj,azimuth_cell_type,azimuth_cell_type_key,pct_in_group,pct_out_group,specificity
CD8B,74.80017,4.777646,0.0,0.0,CD8 T,CD8_T,0.5259849762379272,0.05736629667003028,0.4686186795678969
THEMIS,64.24651,2.1944308,0.0,0.0,CD8 T,CD8_T,0.7062701211099186,0.40171543895055506,0.30455468215936354
CD8A,58.37511,3.6608357,0.0,0.0,CD8 T,CD8_T,0.44688026981450246,0.08042381432896065,0.36645645548554184
ATP8A1,58.364754,1.7076124,0.0,0.0,CD8 T,CD8_T,0.7756400429250344,0.5179112008072655,0.2577288421177689
CD96,53.22059,1.5064685,0.0,0.0,CD8 T,CD8_T,0.8588072972558637,0.635923309788093,0.22288398746777072
NELL2,50.33316,1.6911817,0.0,0.0,CD8 T,CD8_T,0.6696305380959681,0.453229061553986,0.21640147654198205
CCL5,48.111076,2.276744,0.0,0.0,CD8 T,CD8_T,0.5217691246359036,0.27194752774974773,0.2498215968861559
CD3G,46.585346,1.4989343,0.0,0.0,CD8 T,CD8_T,0.7013644028821093,0.4647325933400607,0.23663180954204865
ZBTB20,42.62299,1.0018622,0.0,0.0,CD8 T,CD8_T,0.8625632377740302,0.739354187689203,0.12320905008482719
GRAP2,42.05371,1.4621322,0.0,0.0,CD8 T,CD8_T,0.6018703050743521,0.3828456104944501,0.21902469457990204
AOAH,41.47421,1.8494799,0.0,0.0,CD8 T,CD8_T,0.5262149317798558,0.2830978809283552,0.2431170508515006
PDE3B,40.73485,0.9718066,0.0,0.0,CD8 T,CD8_T,0.9000459911083856,0.7886982845610496,0.11134770654733595
CD2,40.413864,1.2188369,0.0,0.0,CD8 T,CD8_T,0.7639889621339873,0.5659939455095864,0.1979950166244009
PITPNC1,39.11225,1.0850433,0.0,0.0,CD8 T,CD8_T,0.8173386478614133,0.6615539858728559,0.15578466198855745
PCED1B,36.557186,1.1631869,1.3709948764834246e-292,2.741989752966849e-290,CD8 T,CD8_T,0.6524605242986355,0.4780524722502524,0.17440805204838317
PTPRK,32.664196,2.3302488,5.038031989121986e-234,8.76179476369041e-232,CD8 T,CD8_T,0.3013950636210332,0.09889001009081738,0.2025050535302158
STAT4,31.530787,1.1032614,3.288829143827306e-218,5.059737144349702e-216,CD8 T,CD8_T,0.6272420665338034,0.45423814328960654,0.1730039232441969
FYB,30.867764,0.9916464,3.235854587889031e-209,4.7938586487244904e-207,CD8 T,CD8_T,0.7485052889774643,0.5833501513622605,0.16515513761520373
TC2N,30.787605,0.9690852,3.839893254383446e-208,5.485561791976351e-206,CD8 T,CD8_T,0.7434462670550359,0.5871846619576186,0.15626160509741727
PTPRC,29.281532,0.5619374,1.7824638688556227e-188,2.2999533791685455e-186,CD8 T,CD8_T,0.9444274107005978,0.8849142280524724,0.05951318264812533
BCL11B,29.191027,0.9166645,2.52072738448021e-187,2.965561628800247e-185,CD8 T,CD8_T,0.6847309520159435,0.5364783047426842,0.14825264727325926
SAMD3,28.715982,1.5519952,2.4099821082069527e-181,2.7542652665222315e-179,CD8 T,CD8_T,0.3656293116664111,0.18849646821392538,0.17713284345248573
SLFN12L,27.71473,1.1808177,4.639983214013516e-169,5.155536904459462e-167,CD8 T,CD8_T,0.4486432623026214,0.29904137235116046,0.14960188995146095
MVB12B,27.294086,1.5751425,4.985772235735017e-164,4.637927661148853e-162,CD8 T,CD8_T,0.32584700291277013,0.16251261352169527,0.16333438939107486
C1orf21,26.77631,1.5902739,6.100424880036463e-158,5.304717286988229e-156,CD8 T,CD8_T,0.3332055802544841,0.1742684157416751,0.158937164512809
MALAT1,26.03789,0.12857515,1.8450339472014782e-149,1.537528289334565e-147,CD8 T,CD8_T,0.9999999999999999,0.9998486377396572,0.0001513622603427356
