azimuth_cell_type,azimuth_cell_type_key,rank,gene,logfc,padj,pct_in_group,pct_out_group,specificity
B,B,1,MS4A1,9.13900375366211,0.0,0.9510703363914375,0.019173553719008266,0.9318967826724291
B,B,2,CD79A,9.157543182373047,0.0,0.9342507645259941,0.01785123966942149,0.9163995248565726
B,B,3,BANK1,9.294857025146484,0.0,0.9296636085626913,0.015636363636363636,0.9140272449263276
B,B,4,HLA-DRA,8.132213592529297,0.0,0.9728593272171255,0.06733884297520662,0.9055204842419189
B,B,5,HLA-DRB1,7.4994730949401855,0.0,0.9602446483180429,0.07471074380165289,0.88553390451639
B,B,6,RALGPS2,6.59324312210083,0.0,0.926987767584098,0.09361983471074381,0.8333679328733541
B,B,7,HLA-DQA1,7.843886852264404,0.0,0.8616207951070338,0.028561983471074383,0.8330588116359594
B,B,8,PLEKHG1,7.061323165893555,0.0,0.8677370030581042,0.04406611570247934,0.8236708873556249
B,B,9,HLA-DPA1,6.353510856628418,0.0,0.9327217125382264,0.11008264462809919,0.8226390679101272
B,B,10,MEF2C,8.091659545898438,0.0,0.8383027522935782,0.021983471074380166,0.8163192812191981
CD4 T,CD4_T,1,TSHZ2,4.2571492195129395,0.0,0.5119937423952723,0.09073033707865172,0.42126340531662054
CD4 T,CD4_T,2,FAAH2,3.057852268218994,0.0,0.5093864070919523,0.1464419475655431,0.3629444595264092
CD4 T,CD4_T,3,CMTM8,2.607274293899536,0.0,0.4946984182165828,0.17270599250936336,0.3219924257072194
CD4 T,CD4_T,4,RP4-678D15.1,3.94913911819458,0.0,0.3225273770206849,0.043773408239700384,0.2787539687809845
CD4 T,CD4_T,5,FHIT,2.138718605041504,0.0,0.40248565965583183,0.1685861423220974,0.23389951733373443
CD4 T,CD4_T,6,INPP4B,2.0572900772094727,2.6906001940903248e-211,0.3177472622979316,0.12022471910112359,0.197522543196808
CD4 T,CD4_T,7,APOLD1,0.9068300724029541,1.582622578388259e-44,0.26064661915522347,0.17261235955056187,0.0880342596046616
CD8 T,CD8_T,1,CD8B,4.777646064758301,0.0,0.5259849762379272,0.05736629667003028,0.4686186795678969
CD8 T,CD8_T,2,CD8A,3.6608357429504395,0.0,0.44688026981450246,0.08042381432896065,0.36645645548554184
CD8 T,CD8_T,3,PTPRK,2.3302488327026367,8.76179476369041e-232,0.3013950636210332,0.09889001009081738,0.2025050535302158
CD8 T,CD8_T,4,SAMD3,1.5519951581954956,2.7542652665222315e-179,0.3656293116664111,0.18849646821392538,0.17713284345248573
CD8 T,CD8_T,5,MVB12B,1.575142502784729,4.637927661148853e-162,0.32584700291277013,0.16251261352169527,0.16333438939107486
CD8 T,CD8_T,6,C1orf21,1.5902738571166992,5.304717286988229e-156,0.3332055802544841,0.1742684157416751,0.158937164512809
CD8 T,CD8_T,7,ABCB1,1.334212064743042,2.33535556952158e-143,0.35305840870764976,0.19530776992936433,0.15775063877828543
CD8 T,CD8_T,8,LRRN3,1.3123762607574463,1.0374358373513117e-134,0.351908630998007,0.1968213925327952,0.1550872384652118
