condition,cell_type_primary,n_cells,fraction
PSNP_40nm,CD8_T_cytotoxic,3451,0.40801607945140694
PSNP_40nm,CD4_T,3251,0.3843698273823599
PSNP_40nm,NK_cell,562,0.06644596831402223
PSNP_40nm,B_cell,540,0.06384488058642705
PSNP_40nm,other_T,287,0.033932371719082526
PSNP_40nm,Monocyte_CD14,246,0.02908489004492788
PSNP_40nm,low_confidence,74,0.008749113265547412
PSNP_40nm,other,39,0.004611019153464176
PSNP_40nm,DC,8,0.0009458500827618822
PSNP_200nm,CD8_T_cytotoxic,4661,0.37525159004911035
PSNP_200nm,CD4_T,4337,0.3491667337573464
PSNP_200nm,Monocyte_CD14,1018,0.0819579743981966
PSNP_200nm,B_cell,891,0.07173335480235085
PSNP_200nm,NK_cell,813,0.06545366717655583
PSNP_200nm,other_T,507,0.04081796956766766
PSNP_200nm,low_confidence,103,0.008292408018678045
PSNP_200nm,other,74,0.005957652362933741
PSNP_200nm,DC,17,0.0013686498671604541
PSNP_mix_40_200,CD8_T_cytotoxic,2372,0.39500416319733556
PSNP_mix_40_200,CD4_T,1902,0.3167360532889259
PSNP_mix_40_200,B_cell,611,0.10174854288093256
PSNP_mix_40_200,NK_cell,457,0.07610324729392173
PSNP_mix_40_200,Monocyte_CD14,292,0.04862614487926728
PSNP_mix_40_200,other_T,270,0.044962531223980015
PSNP_mix_40_200,other,68,0.011323896752706078
PSNP_mix_40_200,low_confidence,30,0.004995836802664446
PSNP_mix_40_200,DC,3,0.0004995836802664446
control,CD8_T_cytotoxic,2609,0.4104782882315922
control,CD4_T,2061,0.32426054122089365
control,B_cell,583,0.09172435494021397
control,NK_cell,533,0.08385777218376338
control,other_T,286,0.04499685336689742
control,Monocyte_CD14,203,0.031938325991189426
control,low_confidence,43,0.006765261170547514
control,other,31,0.004877281308999371
control,DC,7,0.0011013215859030838
