names,scores,logfoldchanges,pvals,pvals_adj,cell_type,comparison
TBX20,35.86437,,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
GATA2,35.86437,-0.1951972,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
CXCR2,35.86437,-0.0771812,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
AC002331.1,35.86437,-0.17801213,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
RP11-345M22.2,35.86437,-0.10433747,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
TGM3,35.86437,-0.18688253,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
AC011747.7,35.86437,-1.3259329,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
RP11-212I21.4,35.86437,-0.20868325,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
ADAMTS1,35.86437,-0.08293243,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
FCN1,35.86437,-0.41923526,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
RP11-104J23.1,35.86437,-0.057387874,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
EBF2,35.86437,-0.14349355,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
LINC00384,35.86437,-1.5872482,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
RP11-59J16.1,35.86437,-0.10767149,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
MS4A3,35.86437,-0.10144937,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
OLR1,35.86437,-0.29587325,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
AKR1C2,35.86437,-0.15353054,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
HRASLS5,35.86437,-0.09255643,1.0981989839527403e-281,6.8637436497046265e-280,B_cell,PSNP_40nm_vs_control
