condition,cell_type_primary,S_score,G2M_score,IFN_score,antigen_presentation_score
PSNP_40nm,B_cell,0.004830485311331889,-0.013859985899870043,-0.017713885763175934,1.4513365896498716
PSNP_40nm,CD4_T,0.00478448919726339,0.012913570985122393,0.012884433021319176,0.1825560272064476
PSNP_40nm,CD8_T_cytotoxic,0.00915618298277114,0.028473723600439076,0.013919932294036813,0.25279117669343465
PSNP_40nm,DC,0.11908486937837941,-0.0587751679122448,-0.13704735055615672,1.6465245735645293
PSNP_40nm,Monocyte_CD14,-0.06376556995672009,-0.04216942534123252,-0.12901320656180262,0.0588541532192773
PSNP_40nm,NK_cell,0.006969919938633874,0.02505674873051164,-0.00369946701919335,0.2815926616355193
PSNP_40nm,low_confidence,-0.018447960183944942,-0.012627680408390792,-0.05108661268428777,0.15656355214280052
PSNP_40nm,other,0.06485775167688781,-0.04016415727062103,-0.07391934023790427,0.4715641028529558
PSNP_40nm,other_T,0.005423707413756474,0.016688190147488374,-0.0016208786728454294,0.18745176735447674
PSNP_200nm,B_cell,0.01621151201191651,-0.03235264365612524,-0.01368012717618718,1.617803307110078
PSNP_200nm,CD4_T,0.00402132550280785,-0.017847270402453493,0.031546512523346705,0.20743653572070206
PSNP_200nm,CD8_T_cytotoxic,0.007445999594872796,-0.007008228405056862,0.02205606621148544,0.2662508081284953
PSNP_200nm,DC,0.023246487524329118,-0.05023982266292853,-0.10827076164668231,1.7642855027142692
PSNP_200nm,Monocyte_CD14,-0.07408763867142393,-0.062172067525461755,-0.11140559153788794,0.10422154912662882
PSNP_200nm,NK_cell,0.010244288517938224,-0.007674817763369755,0.020763228077890213,0.3116389613735133
PSNP_200nm,low_confidence,0.039863818137804444,0.0016642991742752131,-0.0247353050811588,0.5274510016892721
PSNP_200nm,other,0.050038002014275225,-0.005646033866985424,-0.03632947702840389,0.4294664279995738
PSNP_200nm,other_T,-0.001787825083692298,-0.019692523116558145,-0.00844992203633186,0.22854574167751937
PSNP_mix_40_200,B_cell,0.00045399088826250905,-0.008682206620610092,-0.015412695856329577,1.5233305815120766
PSNP_mix_40_200,CD4_T,0.008273233494621883,0.013440679062498668,0.004259208323451437,0.12525961663444712
PSNP_mix_40_200,CD8_T_cytotoxic,0.006354270716067884,0.02468078575783345,0.013568179465201774,0.22580607305238462
PSNP_mix_40_200,DC,0.2385519132727668,-0.09114756931861241,-0.043798324212138424,1.915767577489217
PSNP_mix_40_200,Monocyte_CD14,-0.04571401371954122,-0.043217585677255504,-0.13082655017887984,0.038946973233394425
PSNP_mix_40_200,NK_cell,0.019220753870706476,0.017132848109927688,0.0018636456278406182,0.25330195188652765
PSNP_mix_40_200,low_confidence,0.01123613112029575,-0.01593575030565262,-0.05697229222989682,0.6054280745983124
PSNP_mix_40_200,other,0.007881478257790332,0.02126361377646818,-0.030797988237257296,0.2629908300892395
PSNP_mix_40_200,other_T,-0.006447889291183658,-0.004520869420634376,-0.0011817504413877025,0.17115533601354668
control,B_cell,0.00032704341239246805,-0.03137678273763399,0.00972910801745184,1.6713176849571345
control,CD4_T,0.001134281303678587,0.009666112270558679,0.052424545487481794,0.17077716695053494
control,CD8_T_cytotoxic,0.004646799016291266,0.027996586356561912,0.036027476952323,0.25871273359492986
control,DC,0.03188951093019271,0.004139229123081479,-0.040771897104810786,1.683422348839896
control,Monocyte_CD14,-0.016803923481780402,-0.04712147418905068,-0.08229931654679823,0.23866327658662653
control,NK_cell,0.010312805819434731,0.018003210683980534,0.053193570432081554,0.33205579913803157
control,low_confidence,0.007826894992015688,0.04058332684948001,0.016728345222020595,0.4984154995929363
control,other,-0.001640185610764588,-0.01767860479172199,-0.03351610641607188,0.30791746814404763
control,other_T,0.0049774158489215865,0.0005210724535521928,0.015196738947479733,0.1854590742904823
