cell_type,effect_class,n_genes
B_cell,unique_40nm,233
B_cell,unique_200nm,296
B_cell,shared_40_200,385
B_cell,shared_all_three,689
B_cell,mix_only_emergent,228
CD4_T,unique_40nm,316
CD4_T,unique_200nm,244
CD4_T,shared_40_200,511
CD4_T,shared_all_three,582
CD4_T,mix_only_emergent,264
CD8_T_cytotoxic,unique_40nm,309
CD8_T_cytotoxic,unique_200nm,244
CD8_T_cytotoxic,shared_40_200,537
CD8_T_cytotoxic,shared_all_three,526
CD8_T_cytotoxic,mix_only_emergent,270
Monocyte_CD14,unique_40nm,196
Monocyte_CD14,unique_200nm,157
Monocyte_CD14,shared_40_200,334
Monocyte_CD14,shared_all_three,973
Monocyte_CD14,mix_only_emergent,234
NK_cell,unique_40nm,208
NK_cell,unique_200nm,272
NK_cell,shared_40_200,391
NK_cell,shared_all_three,672
NK_cell,mix_only_emergent,223
other,unique_40nm,184
other,unique_200nm,368
other,shared_40_200,262
other,shared_all_three,215
other,mix_only_emergent,287
other_T,unique_40nm,196
other_T,unique_200nm,393
other_T,shared_40_200,402
other_T,shared_all_three,383
other_T,mix_only_emergent,281
