cell_type,effect_class,gene,primary_comparison,logfoldchanges,pvals_adj,direction
B_cell,unique_40nm,AC004053.1,PSNP_40nm_vs_control,-0.5256238579750061,2.0809927627732804e-278,DOWN
B_cell,unique_40nm,AC006960.7,PSNP_40nm_vs_control,-0.3277428448200226,1.7936715430009853e-46,DOWN
B_cell,unique_40nm,AC006994.2,PSNP_40nm_vs_control,1.750130534172058,8.843588914558479e-269,UP
B_cell,unique_40nm,AC017002.1,PSNP_40nm_vs_control,-0.47581979632377625,7.472533252283675e-272,DOWN
B_cell,unique_40nm,AC067959.1,PSNP_40nm_vs_control,0.3512732982635498,5.77391291480358e-07,UP
B_cell,unique_40nm,ACSM1,PSNP_40nm_vs_control,0.8877710103988647,6.527823050475636e-21,UP
B_cell,unique_40nm,ADAM12,PSNP_40nm_vs_control,-0.5849270820617676,7.688879008533539e-271,DOWN
B_cell,unique_40nm,ADAM28,PSNP_40nm_vs_control,0.2734725773334503,2.6107351939423876e-08,UP
B_cell,unique_40nm,ADAP1,PSNP_40nm_vs_control,-0.5092858672142029,2.946441937679251e-265,DOWN
B_cell,unique_40nm,ADRBK2,PSNP_40nm_vs_control,0.37057727575302124,4.47732547232951e-14,UP
B_cell,unique_40nm,AFF1,PSNP_40nm_vs_control,1.3347235918045044,8.15053649940658e-17,UP
B_cell,unique_40nm,AHNAK,PSNP_40nm_vs_control,-0.6812508702278137,1.066788590318202e-158,DOWN
B_cell,unique_40nm,AHR,PSNP_40nm_vs_control,-0.6147522330284119,8.04487880219496e-129,DOWN
B_cell,unique_40nm,AKT3,PSNP_40nm_vs_control,-0.33520886301994324,9.913712014816886e-06,DOWN
B_cell,unique_40nm,AMPH,PSNP_40nm_vs_control,-0.95345538854599,4.222366206162736e-55,DOWN
B_cell,unique_40nm,AMZ1,PSNP_40nm_vs_control,0.6333188414573669,2.1319702221683397e-26,UP
B_cell,unique_40nm,ANKRD18A,PSNP_40nm_vs_control,-0.41496726870536804,2.571526680011144e-07,DOWN
B_cell,unique_40nm,APOBEC3H,PSNP_40nm_vs_control,-0.9859859347343445,2.998343390103845e-07,DOWN
B_cell,unique_40nm,ARHGAP21,PSNP_40nm_vs_control,-0.774834156036377,8.418029018522641e-213,DOWN
B_cell,unique_40nm,ARHGAP42,PSNP_40nm_vs_control,0.4004696309566498,3.4323338123829604e-05,UP
B_cell,unique_40nm,ATP1B1,PSNP_40nm_vs_control,-0.33519062399864197,1.205266100413894e-256,DOWN
B_cell,unique_40nm,ATP8B4,PSNP_40nm_vs_control,-0.5104227066040039,1.0176945354443871e-262,DOWN
B_cell,unique_40nm,AUTS2,PSNP_40nm_vs_control,-0.26796093583106995,6.227479251649984e-07,DOWN
B_cell,unique_40nm,AXDND1,PSNP_40nm_vs_control,2.1384775638580322,3.4291969228100562e-46,UP
B_cell,unique_40nm,B4GALNT3,PSNP_40nm_vs_control,0.726743221282959,2.7643219969714337e-47,UP
