cell_type,effect_class,n_genes,top_genes,top_pathways,interpretation
B_cell,unique_40nm,233,TTC23; CTD-2165H16.4; CD109; LINC00871; RP11-165M1.3; RNF13; MARC1; SUSD5,,Response specific to 40 nm PSNP; may reflect higher surface-area-to-volume ratio and distinct uptake/signaling vs larger particles.
B_cell,unique_200nm,296,PAM; DDX25; THSD4; ECEL1; CYSLTR1; UTRN; ELP4; KLHL15,KEGG | Kaposi sarcoma-associated herpesvirus infect… (padj=1.13e-02) | KEGG | IL-17 signaling pathway (padj=1.13e-02) | KEGG | Legionellosis (padj=1.24e-02) | KEGG | TNF signaling pathway (padj=1.28e-02) | KEGG | Rheumatoid arthritis (padj=4.57e-02),"Response specific to 200 nm PSNP; often aligned with stronger myeloid engagement (phagocytosis, PRR signaling)."
B_cell,shared_40_200,385,MIR181A2HG; PDLIM5; RP11-403I13.9; RP11-281P23.2; Y-RNA.1; AC007879.5; CTC-209H22.3; LA16c-312E8.2,GO | Inflammatory Response (GO:0006954) (padj=9.37e-05) | GO | Cytokine-Mediated Signaling Pathway (GO:001922… (padj=8.47e-04) | Reactome | Interleukin-10 Signaling R-HSA-6783783 (padj=5.27e-03) | KEGG | Cytokine-cytokine receptor interaction (padj=1.23e-02) | KEGG | Malaria (padj=1.23e-02),Significant for both 40 nm and 200 nm solo exposures but not in the mix; mix may mask or redirect this program.
B_cell,shared_all_three,689,RP1-15D23.2; TEAD1; CTC-326K19.6; RP5-991G20.1; LIMD1-AS1; UNC5C; CAPS2; RP11-370I10.6,,"Core PSNP response module: significant across 40 nm, 200 nm, and mix — particle-size-independent transcriptional program."
B_cell,mix_only_emergent,228,CALCB; STXBP5L; BAIAP2; LMNA; ITGAM; ALS2CR12; ADM; GMDS,Reactome | Calcitonin-like Ligand Receptors R-HSA-4… (padj=7.89e-03) | GO | Neuron Cell-Cell Adhesion (GO:0007158) (padj=4.73e-02) | GO | Positive Regulation Of Synaptic Transmission (… (padj=4.73e-02),Emergent mixture effect: significant only when both particle sizes are present; not a simple sum of solo exposures.
CD4_T,unique_40nm,316,FBXO34; RP11-46O21.2; RP11-20G13.3; TRIM2; IRS2; ANKS1B; AC005808.3; RP11-174G6.1,GO | Calcium Ion Transport (GO:0006816) (padj=6.68e-03),Response specific to 40 nm PSNP; may reflect higher surface-area-to-volume ratio and distinct uptake/signaling vs larger particles.
CD4_T,unique_200nm,244,RNF125; PIK3CB; C12orf79; CSTB; CCDC79; KIAA1199; NAALADL2; RP11-1100L3.7,KEGG | AGE-RAGE signaling pathway in diabetic compl… (padj=4.42e-03) | KEGG | Fluid shear stress and atherosclerosis (padj=6.94e-03) | KEGG | Chemokine signaling pathway (padj=6.94e-03) | KEGG | Bacterial invasion of epithelial cells (padj=6.94e-03) | KEGG | Viral protein interaction with cytokine and … (padj=1.01e-02),"Response specific to 200 nm PSNP; often aligned with stronger myeloid engagement (phagocytosis, PRR signaling)."
CD4_T,shared_40_200,511,GMDS-AS1; POLQ; MAPK8; AFAP1; RP4-651E10.4; FAM151B; PKIB; SNAPC1,Reactome | Neutrophil Degranulation R-HSA-6798695 (padj=1.71e-07) | GO | Cytokine-Mediated Signaling Pathway (GO:001922… (padj=1.81e-06) | Reactome | Signaling By Interleukins R-HSA-449147 (padj=3.06e-05) | Reactome | Innate Immune System R-HSA-168249 (padj=8.51e-05) | GO | Cellular Response To Cytokine Stimulus (GO:007… (padj=1.36e-04),Significant for both 40 nm and 200 nm solo exposures but not in the mix; mix may mask or redirect this program.
CD4_T,shared_all_three,582,SGK1; ZBTB20; RP11-264C15.2; RP11-525K10.3; CCDC146; RP11-10L7.1; RAD51B; AC105461.1,KEGG | Viral protein interaction with cytokine and … (padj=2.06e-04) | Reactome | Interleukin-10 Signaling R-HSA-6783783 (padj=4.42e-04) | KEGG | Cytokine-cytokine receptor interaction (padj=4.58e-03) | KEGG | TNF signaling pathway (padj=8.35e-03) | KEGG | Rheumatoid arthritis (padj=9.36e-03),"Core PSNP response module: significant across 40 nm, 200 nm, and mix — particle-size-independent transcriptional program."
CD4_T,mix_only_emergent,264,AP001347.6; EIF4A3; TMLHE-AS1; RBKS; ENOX2; CISH; FTH1; MB21D2,KEGG | ECM-receptor interaction (padj=8.44e-03) | KEGG | Focal adhesion (padj=1.11e-02) | KEGG | Arrhythmogenic right ventricular cardiomyopa… (padj=1.35e-02) | KEGG | PI3K-Akt signaling pathway (padj=1.35e-02) | KEGG | Small cell lung cancer (padj=2.10e-02),Emergent mixture effect: significant only when both particle sizes are present; not a simple sum of solo exposures.
CD8_T_cytotoxic,unique_40nm,309,SERINC5; PLS1; DLGAP1; HIST1H3D; FLNA; CPQ; MT1E; FAM154A,GO | Auditory Receptor Cell Morphogenesis (GO:00020… (padj=3.20e-02) | GO | Auditory Receptor Cell Stereocilium Organizati… (padj=3.20e-02),Response specific to 40 nm PSNP; may reflect higher surface-area-to-volume ratio and distinct uptake/signaling vs larger particles.
CD8_T_cytotoxic,unique_200nm,244,B4GALNT3; CMIP; CTB-161M19.4; NEB; IGF1R; OTUD7A; NCAM1; FAM46A,KEGG | Cytokine-cytokine receptor interaction (padj=2.70e-03) | KEGG | African trypanosomiasis (padj=1.49e-02),"Response specific to 200 nm PSNP; often aligned with stronger myeloid engagement (phagocytosis, PRR signaling)."
