Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set,cell_type,effect_class,direction,n_input_genes
GO_Biological_Process_2023,Neuron Cell-Cell Adhesion (GO:0007158),3/14,7.126380256623058e-05,0.0473280595513964,0,0,46.71630094043887,446.0996588137753,NRXN1;NRXN3;CNTN4,GO_Biological_Process_2023,B_cell,mix_only_emergent,UP,119
GO_Biological_Process_2023,Positive Regulation Of Synaptic Transmission (GO:0050806),5/77,9.619524299064316e-05,0.0473280595513964,0,0,12.06688596491228,111.608204836294,CACNG8;RELN;NRXN1;PLK2;NPTN,GO_Biological_Process_2023,B_cell,mix_only_emergent,UP,119
GO_Biological_Process_2023,"Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)",3/22,0.00029120613130839733,0.0955156110691543,0,0,27.035390199637025,220.1080666104974,CACNG8;RELN;NRXN1,GO_Biological_Process_2023,B_cell,mix_only_emergent,UP,119
GO_Biological_Process_2023,Peptidyl-Tyrosine Phosphorylation (GO:0018108),4/67,0.0006839243212905856,0.1422805662946112,0,0,10.941614906832298,79.7388052663246,FER;RELN;INSR;PRLR,GO_Biological_Process_2023,B_cell,mix_only_emergent,UP,119
GO_Biological_Process_2023,Positive Regulation Of Microtubule Nucleation (GO:0090063),2/7,0.0007229703571880654,0.1422805662946112,0,0,67.95213675213675,491.4395250530128,PDE4DIP;HSPA1B,GO_Biological_Process_2023,B_cell,mix_only_emergent,UP,119
GO_Biological_Process_2023,Positive Regulation Of Synapse Maturation (GO:0090129),2/8,0.0009602109582574732,0.1506721745075653,0,0,56.623931623931625,393.443322779174,RELN;NRXN1,GO_Biological_Process_2023,B_cell,mix_only_emergent,UP,119
GO_Biological_Process_2023,Endoderm Formation (GO:0001706),3/35,0.0011698618067162,0.1506721745075653,0,0,16.041756465517242,108.29580687285532,DUSP4;ITGA4;HMGA2,GO_Biological_Process_2023,B_cell,mix_only_emergent,UP,119
GO_Biological_Process_2023,Regulation Of Trans-Synaptic Signaling (GO:0099177),3/36,0.0012707067627747,0.1506721745075653,0,0,15.554858934169278,103.72263078017762,RELN;GRID1;LRRC4C,GO_Biological_Process_2023,B_cell,mix_only_emergent,UP,119
GO_Biological_Process_2023,Regulation Of Microtubule Nucleation (GO:0010968),2/10,0.0015312212856459,0.1506721745075653,0,0,42.46367521367522,275.23636354227165,PDE4DIP;HSPA1B,GO_Biological_Process_2023,B_cell,mix_only_emergent,UP,119
GO_Biological_Process_2023,Regulation Of Synapse Maturation (GO:0090128),2/10,0.0015312212856459,0.1506721745075653,0,0,42.46367521367522,275.23636354227165,RELN;NRXN1,GO_Biological_Process_2023,B_cell,mix_only_emergent,UP,119
